#       r             R(r)          X(r)=rR(r)          Veff
  2.878919e+01   3.293293e-06   9.481125e-05  -6.705744e-02
  2.907853e+01   2.878358e-06   8.369841e-05  -6.641398e-02
  2.937077e+01   2.512047e-06   7.378076e-05  -6.577645e-02
  2.966595e+01   2.189137e-06   6.494283e-05  -6.514480e-02
  2.996410e+01   1.904907e-06   5.707884e-05  -6.451899e-02
  3.026524e+01   1.655100e-06   5.009200e-05  -6.389896e-02
  3.056942e+01   1.435877e-06   4.389392e-05  -6.328466e-02
  3.087664e+01   1.243789e-06   3.840402e-05  -6.267605e-02
  3.118696e+01   1.075735e-06   3.354891e-05  -6.207308e-02
  3.150039e+01   9.289384e-07   2.926193e-05  -6.147570e-02
  3.181698e+01   8.009114e-07   2.548258e-05  -6.088386e-02
  3.213674e+01   6.894315e-07   2.215608e-05  -6.029752e-02
  3.245972e+01   5.925158e-07   1.923290e-05  -5.971663e-02
  3.278595e+01   5.083980e-07   1.666831e-05  -5.914114e-02
  3.311545e+01   4.355077e-07   1.442203e-05  -5.857100e-02
  3.344827e+01   3.724506e-07   1.245783e-05  -5.800618e-02
  3.378443e+01   3.179913e-07   1.074316e-05  -5.744662e-02
  3.412397e+01   2.710368e-07   9.248850e-06  -5.689228e-02
  3.446692e+01   2.306217e-07   7.948819e-06  -5.634311e-02
  3.481332e+01   1.958951e-07   6.819759e-06  -5.579907e-02
  3.516320e+01   1.661082e-07   5.840896e-06  -5.526012e-02
  3.551659e+01   1.406032e-07   4.993745e-06  -5.472620e-02
  3.587354e+01   1.188031e-07   4.261888e-06  -5.419729e-02
  3.623408e+01   1.002032e-07   3.630769e-06  -5.367333e-02
  3.659823e+01   8.436229e-08   3.087511e-06  -5.315427e-02
  3.696605e+01   7.089580e-08   2.620738e-06  -5.264009e-02
  3.733757e+01   5.946891e-08   2.220424e-06  -5.213073e-02
  3.771282e+01   4.979075e-08   1.877749e-06  -5.162615e-02
  3.809184e+01   4.160910e-08   1.584967e-06  -5.112632e-02
  3.847467e+01   3.470571e-08   1.335291e-06  -5.063118e-02
  3.886134e+01   2.889202e-08   1.122783e-06  -5.014070e-02
  3.925191e+01   2.400552e-08   9.422626e-07  -4.965484e-02
  3.964639e+01   1.990637e-08   7.892157e-07  -4.917355e-02
  4.004485e+01   1.647449e-08   6.597184e-07  -4.869680e-02
  4.044730e+01   1.360700e-08   5.503664e-07  -4.822455e-02
  4.085381e+01   1.121591e-08   4.582124e-07  -4.775675e-02
  4.126439e+01   9.226123e-09   3.807104e-07  -4.729337e-02
  4.167911e+01   7.573699e-09   3.156650e-07  -4.683436e-02
  4.209799e+01   6.204286e-09   2.611880e-07  -4.637969e-02
  4.252108e+01   5.071792e-09   2.156581e-07  -4.592932e-02
  4.294843e+01   4.137211e-09   1.776867e-07  -4.548322e-02
  4.338006e+01   3.367606e-09   1.460870e-07  -4.504133e-02
  4.381604e+01   2.735224e-09   1.198467e-07  -4.460363e-02
  4.425640e+01   2.216732e-09   9.810456e-08  -4.417008e-02
  4.470118e+01   1.792554e-09   8.012928e-08  -4.374064e-02
  4.515044e+01   1.446308e-09   6.530142e-08  -4.331527e-02
  4.560421e+01   1.164310e-09   5.309744e-08  -4.289394e-02
  4.606254e+01   9.351608e-10   4.307588e-08  -4.247662e-02
  4.652547e+01   7.493828e-10   3.486539e-08  -4.206325e-02
  4.699306e+01   5.991159e-10   2.815429e-08  -4.165382e-02
  4.746535e+01   4.778565e-10   2.268163e-08  -4.124828e-02
  4.794239e+01   3.802362e-10   1.822943e-08  -4.084660e-02
  4.842422e+01   3.018341e-10   1.461608e-08  -4.044874e-02
  4.891089e+01   2.390185e-10   1.169061e-08  -4.005467e-02
  4.940245e+01   1.888134e-10   9.327843e-09  -3.966435e-02
  4.989895e+01   1.487857e-10   7.424250e-09  -3.927776e-02
  5.040044e+01   1.169515e-10   5.894410e-09  -3.889485e-02
  5.090698e+01   9.169726e-11   4.668030e-09  -3.851560e-02
  5.141860e+01   7.171355e-11   3.687411e-09  -3.813996e-02
  5.193537e+01   5.594092e-11   2.905312e-09  -3.776792e-02
  5.245733e+01   4.352413e-11   2.283160e-09  -3.739942e-02
  5.298453e+01   3.377470e-11   1.789537e-09  -3.703445e-02
  5.351703e+01   2.613980e-11   1.398925e-09  -3.667297e-02
  5.405489e+01   2.017674e-11   1.090651e-09  -3.631495e-02
  5.459815e+01   1.553194e-11   8.480154e-10  -3.596035e-02
  5.514687e+01   1.192381e-11   6.575608e-10  -3.560915e-02
  5.570111e+01   9.128653e-12   5.084761e-10  -3.526131e-02
  5.626091e+01   6.969294e-12   3.920988e-10  -3.491681e-02
  5.682634e+01   5.305778e-12   3.015080e-10  -3.457560e-02
  5.739746e+01   4.027870e-12   2.311895e-10  -3.423767e-02
  5.797431e+01   3.048985e-12   1.767628e-10  -3.390298e-02
  5.855696e+01   2.301316e-12   1.347581e-10  -3.357150e-02
  5.914547e+01   1.731911e-12   1.024347e-10  -3.324321e-02
  5.973989e+01   1.299543e-12   7.763453e-11  -3.291806e-02
  6.034029e+01   9.722056e-13   5.866317e-11  -3.259604e-02
  6.094672e+01   7.251292e-13   4.419425e-11  -3.227712e-02
  6.155924e+01   5.391991e-13   3.319269e-11  -3.196126e-02
  6.217792e+01   3.997110e-13   2.485320e-11  -3.164844e-02
  6.280282e+01   2.953880e-13   1.855120e-11  -3.133863e-02
  6.343400e+01   2.176084e-13   1.380377e-11  -3.103180e-02
