#       r             V(r)
  2.59911269e-02  -7.69493408e+01
  2.62523405e-02  -7.61836853e+01
  2.65161805e-02  -7.54256439e+01
  2.67826729e-02  -7.46751480e+01
  2.70518437e-02  -7.39321136e+01
  2.73237191e-02  -7.31964798e+01
  2.75983270e-02  -7.24681625e+01
  2.78756935e-02  -7.17470932e+01
  2.81558484e-02  -7.10332031e+01
  2.84388196e-02  -7.03264084e+01
  2.87246350e-02  -6.96266479e+01
  2.90133208e-02  -6.89338531e+01
  2.93049105e-02  -6.82479477e+01
  2.95994356e-02  -6.75688553e+01
  2.98969150e-02  -6.68965378e+01
  3.01973838e-02  -6.62309036e+01
  3.05008721e-02  -6.55718994e+01
  3.08074113e-02  -6.49194412e+01
  3.11170295e-02  -6.42734909e+01
  3.14297602e-02  -6.36339569e+01
  3.17456350e-02  -6.30007858e+01
  3.20646837e-02  -6.23739204e+01
  3.23869400e-02  -6.17532883e+01
  3.27124335e-02  -6.11388321e+01
  3.30411978e-02  -6.05304947e+01
  3.33732665e-02  -5.99282074e+01
  3.37086730e-02  -5.93319130e+01
  3.40474509e-02  -5.87415504e+01
  3.43896337e-02  -5.81570587e+01
  3.47352549e-02  -5.75783882e+01
  3.50843482e-02  -5.70054779e+01
  3.54369506e-02  -5.64382629e+01
  3.57930996e-02  -5.58766937e+01
  3.61528248e-02  -5.53207130e+01
  3.65161672e-02  -5.47702599e+01
  3.68831605e-02  -5.42252884e+01
  3.72538418e-02  -5.36857376e+01
  3.76282483e-02  -5.31515579e+01
  3.80064175e-02  -5.26226921e+01
  3.83883975e-02  -5.20990753e+01
  3.87742072e-02  -5.15806808e+01
  3.91638950e-02  -5.10674438e+01
  3.95574979e-02  -5.05593147e+01
  3.99550572e-02  -5.00562401e+01
  4.03566100e-02  -4.95581779e+01
  4.07622010e-02  -4.90650635e+01
  4.11718674e-02  -4.85768585e+01
  4.15856540e-02  -4.80935097e+01
  4.20035943e-02  -4.76149712e+01
  4.24257368e-02  -4.71411972e+01
  4.28521223e-02  -4.66721344e+01
  4.32827920e-02  -4.62077408e+01
  4.37177904e-02  -4.57479668e+01
  4.41571623e-02  -4.52927666e+01
  4.46009487e-02  -4.48420944e+01
  4.50491942e-02  -4.43959122e+01
  4.55019474e-02  -4.39541626e+01
  4.59592491e-02  -4.35168114e+01
  4.64211479e-02  -4.30838127e+01
  4.68876883e-02  -4.26551208e+01
  4.73589152e-02  -4.22306976e+01
  4.78348807e-02  -4.18104935e+01
  4.83156294e-02  -4.13944740e+01
  4.88012061e-02  -4.09825935e+01
  4.92916666e-02  -4.05748100e+01
  4.97870669e-02  -4.01710739e+01
  5.02874367e-02  -3.97713661e+01
  5.07928319e-02  -3.93756332e+01
  5.13033085e-02  -3.89838409e+01
  5.18189147e-02  -3.85959435e+01
  5.23397028e-02  -3.82119102e+01
  5.28657250e-02  -3.78316956e+01
  5.33970334e-02  -3.74552650e+01
  5.39336838e-02  -3.70825768e+01
  5.44757247e-02  -3.67136002e+01
  5.50232157e-02  -3.63482933e+01
  5.55762053e-02  -3.59866257e+01
  5.61347567e-02  -3.56285515e+01
  5.66989183e-02  -3.52740402e+01
  5.72687536e-02  -3.49230576e+01
  5.78443110e-02  -3.45755692e+01
  5.84256575e-02  -3.42315369e+01
  5.90128452e-02  -3.38909264e+01
  5.96059337e-02  -3.35537071e+01
  6.02049828e-02  -3.32198410e+01
  6.08100519e-02  -3.28892975e+01
  6.14212006e-02  -3.25620461e+01
  6.20384961e-02  -3.22380486e+01
  6.26619905e-02  -3.19172745e+01
  6.32917508e-02  -3.15996952e+01
  6.39278591e-02  -3.12852650e+01
  6.45703450e-02  -3.09739704e+01
  6.52192906e-02  -3.06657734e+01
  6.58747554e-02  -3.03606434e+01
  6.65368065e-02  -3.00585518e+01
  6.72055110e-02  -2.97594643e+01
  6.78809360e-02  -2.94633541e+01
  6.85631484e-02  -2.91701889e+01
  6.92522228e-02  -2.88799400e+01
  6.99482188e-02  -2.85925789e+01
  7.06512034e-02  -2.83080807e+01
  7.13612586e-02  -2.80264111e+01
  7.20784515e-02  -2.77475433e+01
  7.28028566e-02  -2.74714489e+01
  7.35345334e-02  -2.71981049e+01
  7.42735639e-02  -2.69274807e+01
  7.50200301e-02  -2.66595459e+01
  7.57739916e-02  -2.63942814e+01
  7.65355304e-02  -2.61316547e+01
  7.73047283e-02  -2.58716393e+01
  7.80816525e-02  -2.56142120e+01
  7.88663849e-02  -2.53593464e+01
  7.96590000e-02  -2.51070194e+01
  8.04595873e-02  -2.48571987e+01
  8.12682211e-02  -2.46098652e+01
  8.20849761e-02  -2.43649940e+01
  8.29099640e-02  -2.41225529e+01
  8.37432221e-02  -2.38825302e+01
  8.45848545e-02  -2.36448956e+01
  8.54349509e-02  -2.34096222e+01
  8.62935856e-02  -2.31766930e+01
  8.71608481e-02  -2.29460831e+01
  8.80368277e-02  -2.27177658e+01
  8.89216140e-02  -2.24917202e+01
  8.98152888e-02  -2.22679234e+01
  9.07179415e-02  -2.20463562e+01
  9.16296765e-02  -2.18269901e+01
  9.25505683e-02  -2.16098080e+01
  9.34807137e-02  -2.13947868e+01
  9.44202095e-02  -2.11819057e+01
  9.53691453e-02  -2.09711437e+01
  9.63276252e-02  -2.07624760e+01
  9.72957313e-02  -2.05558872e+01
  9.82735679e-02  -2.03513527e+01
  9.92612317e-02  -2.01488533e+01
  1.00258827e-01  -1.99483681e+01
  1.01266444e-01  -1.97498798e+01
  1.02284186e-01  -1.95533657e+01
  1.03312157e-01  -1.93588066e+01
  1.04350463e-01  -1.91661816e+01
  1.05399199e-01  -1.89754772e+01
  1.06458478e-01  -1.87866669e+01
  1.07528426e-01  -1.85997334e+01
  1.08609103e-01  -1.84146633e+01
  1.09700643e-01  -1.82314339e+01
  1.10803150e-01  -1.80500278e+01
  1.11916743e-01  -1.78704262e+01
  1.13041520e-01  -1.76926136e+01
  1.14177607e-01  -1.75165691e+01
  1.15325108e-01  -1.73422775e+01
  1.16484150e-01  -1.71697178e+01
  1.17654830e-01  -1.69988766e+01
  1.18837282e-01  -1.68297348e+01
  1.20031618e-01  -1.66622772e+01
  1.21237949e-01  -1.64964848e+01
  1.22456409e-01  -1.63323421e+01
  1.23687118e-01  -1.61698322e+01
  1.24930196e-01  -1.60089397e+01
  1.26185760e-01  -1.58496494e+01
  1.27453953e-01  -1.56919413e+01
  1.28734872e-01  -1.55358057e+01
  1.30028680e-01  -1.53812218e+01
  1.31335497e-01  -1.52281752e+01
  1.32655442e-01  -1.50766525e+01
  1.33988649e-01  -1.49266376e+01
  1.35335252e-01  -1.47781153e+01
  1.36695415e-01  -1.46310682e+01
  1.38069212e-01  -1.44854889e+01
  1.39456838e-01  -1.43413544e+01
  1.40858397e-01  -1.41986561e+01
  1.42274052e-01  -1.40573769e+01
  1.43703923e-01  -1.39175043e+01
  1.45148173e-01  -1.37790232e+01
  1.46606952e-01  -1.36419182e+01
  1.48080379e-01  -1.35061779e+01
  1.49568602e-01  -1.33717899e+01
  1.51071787e-01  -1.32387390e+01
  1.52590081e-01  -1.31070118e+01
  1.54123649e-01  -1.29765940e+01
  1.55672610e-01  -1.28474751e+01
  1.57237142e-01  -1.27196407e+01
  1.58817396e-01  -1.25930786e+01
  1.60413548e-01  -1.24677744e+01
  1.62025720e-01  -1.23437195e+01
  1.63654104e-01  -1.22208977e+01
  1.65298849e-01  -1.20992975e+01
  1.66960150e-01  -1.19789066e+01
  1.68638125e-01  -1.18597145e+01
  1.70332968e-01  -1.17417078e+01
  1.72044843e-01  -1.16248760e+01
  1.73773929e-01  -1.15092058e+01
  1.75520375e-01  -1.13946886e+01
  1.77284390e-01  -1.12813091e+01
  1.79066122e-01  -1.11690588e+01
  1.80865765e-01  -1.10579243e+01
  1.82683498e-01  -1.09478960e+01
  1.84519485e-01  -1.08389635e+01
  1.86373934e-01  -1.07311144e+01
  1.88247025e-01  -1.06243382e+01
  1.90138966e-01  -1.05186224e+01
  1.92049891e-01  -1.04139605e+01
  1.93980023e-01  -1.03103399e+01
  1.95929557e-01  -1.02077503e+01
  1.97898671e-01  -1.01061821e+01
  1.99887589e-01  -1.00056238e+01
  2.01896489e-01  -9.90606594e+00
  2.03925580e-01  -9.80749893e+00
  2.05975071e-01  -9.70991325e+00
  2.08045140e-01  -9.61329842e+00
  2.10136026e-01  -9.51764488e+00
  2.12247938e-01  -9.42294216e+00
  2.14381054e-01  -9.32918262e+00
  2.16535643e-01  -9.23635483e+00
  2.18711868e-01  -9.14445114e+00
  2.20909953e-01  -9.05346298e+00
  2.23130137e-01  -8.96337891e+00
  2.25372627e-01  -8.87419224e+00
  2.27637663e-01  -8.78589249e+00
  2.29925454e-01  -8.69847107e+00
  2.32236236e-01  -8.61192036e+00
  2.34570250e-01  -8.52623081e+00
  2.36927718e-01  -8.44139290e+00
  2.39308879e-01  -8.35739994e+00
  2.41713971e-01  -8.27424240e+00
  2.44143233e-01  -8.19191265e+00
  2.46596947e-01  -8.11040020e+00
  2.49075279e-01  -8.02970123e+00
  2.51578510e-01  -7.94980478e+00
  2.54106939e-01  -7.87070227e+00
  2.56660730e-01  -7.79238796e+00
  2.59240210e-01  -7.71485233e+00
  2.61845618e-01  -7.63808870e+00
  2.64477223e-01  -7.56208801e+00
  2.67135262e-01  -7.48684406e+00
  2.69820005e-01  -7.41234875e+00
  2.72531748e-01  -7.33859444e+00
  2.75270730e-01  -7.26557446e+00
  2.78037250e-01  -7.19328070e+00
  2.80831605e-01  -7.12170553e+00
  2.83654004e-01  -7.05084372e+00
  2.86504775e-01  -6.98068666e+00
  2.89384186e-01  -6.91122770e+00
  2.92292535e-01  -6.84246016e+00
  2.95230120e-01  -6.77437639e+00
  2.98197240e-01  -6.70697021e+00
  3.01194161e-01  -6.64023495e+00
  3.04221213e-01  -6.57416344e+00
  3.07278693e-01  -6.50874949e+00
  3.10366869e-01  -6.44398689e+00
  3.13486129e-01  -6.37986755e+00
  3.16636741e-01  -6.31638622e+00
  3.19819003e-01  -6.25353718e+00
  3.23033214e-01  -6.19131374e+00
  3.26279759e-01  -6.12970924e+00
  3.29558909e-01  -6.06871796e+00
  3.32871050e-01  -6.00833273e+00
